DATE,INDCPIALLMINMEI
1960-01-01,1.67898427363723
1960-02-01,1.67898427363723
1960-03-01,1.66441608038253
1960-04-01,1.67898427363723
1960-05-01,1.68991041857826
1960-06-01,1.70447861187121
1960-07-01,1.73361499838062
1960-08-01,1.73361499838062
1960-09-01,1.71904680512592
1960-10-01,1.71904680512592
1960-11-01,1.70447861187121
1960-12-01,1.70447861187121
1961-01-01,1.68991041857826
1961-02-01,1.68991041857826
1961-03-01,1.70447861187121
1961-04-01,1.70447861187121
1961-05-01,1.70447861187121
1961-06-01,1.71904680512592
1961-07-01,1.74818319163532
1961-08-01,1.7591093366146
1961-09-01,1.7591093366146
1961-10-01,1.7591093366146
1961-11-01,1.7591093366146
1961-12-01,1.7591093366146
1962-01-01,1.74818319163532
1962-02-01,1.74818319163532
1962-03-01,1.74818319163532
1962-04-01,1.7591093366146
1962-05-01,1.7736775298693
1962-06-01,1.788245723124
1962-07-01,1.81374006131973
1962-08-01,1.82830825461269
1962-09-01,1.82830825461269
1962-10-01,1.84287644786739
1962-11-01,1.82830825461269
1962-12-01,1.80281391637871
1963-01-01,1.788245723124
1963-02-01,1.7736775298693
1963-03-01,1.788245723124
1963-04-01,1.80281391637871
1963-05-01,1.81374006131973
1963-06-01,1.84287644786739
1963-07-01,1.85744464112209
1963-08-01,1.87201283437679
1963-09-01,1.88293897935607
1963-10-01,1.89750717261077
1963-11-01,1.89750717261077
1963-12-01,1.92664355912018
1964-01-01,1.92664355912018
1964-02-01,1.95213789735416
1964-03-01,1.96670609060886
1964-04-01,1.98127428386356
1964-05-01,2.02133681535225
1964-06-01,2.06139934680268
1964-07-01,2.11967211985974
1964-08-01,2.14516645809372
1964-09-01,2.1852289895824
1964-10-01,2.24350176260121
1964-11-01,2.24350176260121
1964-12-01,2.25442790758049
1965-01-01,2.26899610083519
1965-02-01,2.22893356934651
1965-03-01,2.1852289895824
1965-04-01,2.19979718283711
1965-05-01,2.21436537609181
1965-06-01,2.24350176260121
1965-07-01,2.30905863232388
1965-08-01,2.33819501883328
1965-09-01,2.36733140534268
1965-10-01,2.36733140534268
1965-11-01,2.37825755032196
1965-12-01,2.37825755032196
1966-01-01,2.37825755032196
1966-02-01,2.39282574357667
1966-03-01,2.39282574357667
1966-04-01,2.40739393683137
1966-05-01,2.48751899977048
1966-06-01,2.54579177282754
1966-07-01,2.58585430431623
1966-08-01,2.61134864251195
1966-09-01,2.62591683580491
1966-10-01,2.64048502905961
1966-11-01,2.66962141556901
1966-12-01,2.7096839470577
1967-01-01,2.7096839470577
1967-02-01,2.7242521403124
1967-03-01,2.74974647854638
1967-04-01,2.77888286505579
1967-05-01,2.83351358979917
1967-06-01,2.90271250779726
1967-07-01,2.92820684603124
1967-08-01,2.95734323254064
1967-09-01,2.94277503928594
1967-10-01,2.98283757073637
1967-11-01,2.97191142579535
1967-12-01,2.94277503928594
1968-01-01,3.02654215053873
1968-02-01,2.98283757073637
1968-03-01,2.92820684603124
1968-04-01,2.94277503928594
1968-05-01,2.91728070105196
1968-06-01,2.94277503928594
1968-07-01,2.92820684603124
1968-08-01,2.99376371571565
1968-09-01,3.01197395728403
1968-10-01,3.02654215053873
1968-11-01,2.96098528085432
1968-12-01,2.87721816960153
1969-01-01,2.8590079279949
1969-02-01,2.8444397347402
1969-03-01,2.8590079279949
1969-04-01,2.87721816960153
1969-05-01,2.90999660442461
1969-06-01,2.99376371571565
1969-07-01,3.01197395728403
1969-08-01,3.01197395728403
1969-09-01,3.01197395728403
1969-10-01,2.99376371571565
1969-11-01,2.9791955224227
1969-12-01,2.9791955224227
1970-01-01,2.9791955224227
1970-02-01,2.9791955224227
1970-03-01,3.01197395728403
1970-04-01,3.04475239210711
1970-05-01,3.07753082696844
1970-06-01,3.11395131014345
1970-07-01,3.12851950339815
1970-08-01,3.14672974496653
1970-09-01,3.16129793822123
1970-10-01,3.17950817982786
1970-11-01,3.17950817982786
1970-12-01,3.12851950339815
1971-01-01,3.09574106853682
1971-02-01,3.09574106853682
1971-03-01,3.09574106853682
1971-04-01,3.09574106853682
1971-05-01,3.09574106853682
